Vrsta	Species_binomial	Genus	Statusi	BOLD_ITS2_status
Abies alba Mill.	Abies alba	Abies		MATCHED
Abies cephalonica Loudon	Abies cephalonica	Abies		MATCHED
Abies concolor (Gordon) Lindley ex Hildebrand	Abies concolor	Abies		MATCHED
Abies grandis (Douglas ex. D. Don) Lindley	Abies grandis	Abies		MATCHED
Abies nordmanniana Spach	Abies nordmanniana	Abies		MATCHED
Abies pinsapo Boiss.	Abies pinsapo	Abies		MATCHED
Abietinella abietina (Hedw.) M. Fleisch.	Abietinella abietina	Abietinella		MATCHED
Abutilon theophrasti Medik.	Abutilon theophrasti	Abutilon		MATCHED
Acer campestre L.	Acer campestre	Acer		MATCHED
Acer japonicum Thunb.	Acer japonicum	Acer		MATCHED
Acer negundo L.	Acer negundo	Acer		MATCHED
Acer palmatum Thunb.	Acer palmatum	Acer		MATCHED
Acer platanoides L.	Acer platanoides	Acer		MATCHED
Acer pseudoplatanus L.	Acer pseudoplatanus	Acer		MATCHED
Acer saccharinum L.	Acer saccharinum	Acer		MATCHED
Acer tataricum L.	Acer tataricum	Acer	14	MATCHED
Achillea aspleniifolia Vent.	Achillea aspleniifolia	Achillea	17	MATCHED
Achillea atrata L.	Achillea atrata	Achillea		MATCHED
Achillea collina Becker ex Rchb.	Achillea collina	Achillea		MATCHED
Achillea distans Willd.	Achillea distans	Achillea		MATCHED
Achillea millefolium L.	Achillea millefolium	Achillea		MATCHED
Achillea nobilis L.	Achillea nobilis	Achillea		MATCHED
Achillea pannonica Scheele	Achillea pannonica	Achillea		MATCHED
Achillea ptarmica L.	Achillea ptarmica	Achillea		MATCHED
Achillea roseoalba Ehrend.	Achillea roseoalba	Achillea		MATCHED
Achillea setacea Waldst. &amp; Kit.	Achillea setacea	Achillea		MATCHED
Achillea virescens (Fenzl) Heimerl	Achillea virescens	Achillea		MATCHED
Achnatherum bromoides (L.) P. Beauv.	Achnatherum bromoides	Achnatherum	14	MATCHED
Achnatherum calamagrostis (L.) P. Beauv.	Achnatherum calamagrostis	Achnatherum		MATCHED
Aconitum lycoctonum L.	Aconitum lycoctonum	Aconitum		MATCHED
Aconitum napellus L. [s.l.]	Aconitum napellus	Aconitum		MATCHED
Aconitum variegatum L.	Aconitum variegatum	Aconitum		MATCHED
Acorus calamus L.	Acorus calamus	Acorus		MATCHED
Actaea spicata L.	Actaea spicata	Actaea		MATCHED
Actinidia arguta (Siebold &amp; Zucc.) Planch. ex Miq.	Actinidia arguta	Actinidia		MATCHED
Actinidia chinensis Planch.	Actinidia chinensis	Actinidia		MATCHED
Adenophora liliifolia (L.) DC.	Adenophora liliifolia	Adenophora	7, 8, 12, 25, 27, 34, 50	MATCHED
Adenostyles alliariae (Gouan) Kern.	Adenostyles alliariae	Adenostyles		MATCHED
Adonis annua L.	Adonis annua	Adonis		MATCHED
Adoxa moschatellina L.	Adoxa moschatellina	Adoxa		MATCHED
Aegagropila linnaei Kützing, 1843	Aegagropila linnaei	Aegagropila		MATCHED
Aegilops cylindrica Host	Aegilops cylindrica	Aegilops		MATCHED
Aegilops neglecta Bertol.	Aegilops neglecta	Aegilops		MATCHED
Aegilops triuncialis L.	Aegilops triuncialis	Aegilops	14	MATCHED
Aegopodium podagraria L.	Aegopodium podagraria	Aegopodium		MATCHED
Aesculus flava Sol.	Aesculus flava	Aesculus		MATCHED
Aesculus hippocastanum L.	Aesculus hippocastanum	Aesculus		MATCHED
Aesculus parviflora Walter	Aesculus parviflora	Aesculus		MATCHED
Aesculus pavia L.	Aesculus pavia	Aesculus		MATCHED
Aesculus turbinata Blume	Aesculus turbinata	Aesculus		MATCHED
Aethusa cynapium L. [s.l.]	Aethusa cynapium	Aethusa		MATCHED
Agrimonia eupatoria L.	Agrimonia eupatoria	Agrimonia		MATCHED
Agrimonia procera Wallr.	Agrimonia procera	Agrimonia	13	MATCHED
Agrostemma githago L.	Agrostemma githago	Agrostemma	13	MATCHED
Agrostis canina L.	Agrostis canina	Agrostis		MATCHED
Agrostis castellana Boiss. &amp; Reut. [s.l.]	Agrostis castellana	Agrostis		MATCHED
Agrostis gigantea Roth	Agrostis gigantea	Agrostis		MATCHED
Agrostis stolonifera L.	Agrostis stolonifera	Agrostis		MATCHED
Agrostis vinealis Schreb.	Agrostis vinealis	Agrostis		MATCHED
Ailanthus altissima (Mill.) Swingle	Ailanthus altissima	Ailanthus	5	MATCHED
Aira caryophyllea L.	Aira caryophyllea	Aira	14	MATCHED
Aira elegantissima Schur	Aira elegantissima	Aira		MATCHED
Ajuga chamaepitys (L.) Schreb.	Ajuga chamaepitys	Ajuga		MATCHED
Ajuga genevensis L.	Ajuga genevensis	Ajuga		MATCHED
Ajuga pyramidalis L.	Ajuga pyramidalis	Ajuga		MATCHED
Ajuga reptans L.	Ajuga reptans	Ajuga		MATCHED
Akebia quinata (Houtt.) Dcne.	Akebia quinata	Akebia		MATCHED
Albizia julibrissin (Willd.) Durazz.	Albizia julibrissin	Albizia		MATCHED
Alcea rosea L.	Alcea rosea	Alcea		MATCHED
Alchemilla colorata Buser	Alchemilla colorata	Alchemilla		MATCHED
Alchemilla crinita Buser	Alchemilla crinita	Alchemilla		MATCHED
Alchemilla cymatophylla Juz.	Alchemilla cymatophylla	Alchemilla		MATCHED
Alchemilla decumbens Buser	Alchemilla decumbens	Alchemilla		MATCHED
Alchemilla fallax Buser	Alchemilla fallax	Alchemilla		MATCHED
Alchemilla fissa Günther &amp; Schummel	Alchemilla fissa	Alchemilla		MATCHED
Alchemilla flabellata Buser	Alchemilla flabellata	Alchemilla		MATCHED
Alchemilla glabra Neygenf.	Alchemilla glabra	Alchemilla		MATCHED
Alchemilla glaucescens Wallr.	Alchemilla glaucescens	Alchemilla		MATCHED
Alchemilla glomerulans Buser	Alchemilla glomerulans	Alchemilla		MATCHED
Alchemilla micans Buser	Alchemilla micans	Alchemilla		MATCHED
Alchemilla monticola Opiz	Alchemilla monticola	Alchemilla		MATCHED
Alchemilla subcrenata Buser	Alchemilla subcrenata	Alchemilla		MATCHED
Alchemilla vulgaris L.	Alchemilla vulgaris	Alchemilla		MATCHED
Alchemilla xanthochlora Rothm.	Alchemilla xanthochlora	Alchemilla		MATCHED
Alisma gramineum Lej.	Alisma gramineum	Alisma	13	MATCHED
Alisma lanceolatum With.	Alisma lanceolatum	Alisma	13	MATCHED
Alisma plantago-aquatica L.	Alisma plantago-aquatica	Alisma		MATCHED
Alleniella besseri (Lobarz.) S. Olsson, Enroth &amp; D. Quandt	Alleniella besseri	Alleniella		MATCHED
Alleniella complanata (Hedw.) S. Olsson, Enroth &amp; D. Quandt	Alleniella complanata	Alleniella		MATCHED
Alliaria petiolata (M. Bieb.) Cavara &amp; Grande	Alliaria petiolata	Alliaria		MATCHED
Allium ampeloprasum L.	Allium ampeloprasum	Allium		MATCHED
Allium angulosum L.	Allium angulosum	Allium	13	MATCHED
Allium cepa L.	Allium cepa	Allium		MATCHED
Allium ericetorum Thore	Allium ericetorum	Allium		MATCHED
Allium lusitanicum Lam.	Allium lusitanicum	Allium		MATCHED
Allium neapolitanum Cirillo	Allium neapolitanum	Allium	13	MATCHED
Allium oleraceum L.	Allium oleraceum	Allium		MATCHED
Allium paniculatum L. [s.l.]	Allium paniculatum	Allium		MATCHED
Allium roseum L.	Allium roseum	Allium		MATCHED
Allium sativum L.	Allium sativum	Allium		MATCHED
Allium saxatile M. Bieb.	Allium saxatile	Allium		MATCHED
Allium schoenoprasum L. [s.l.]	Allium schoenoprasum	Allium		MATCHED
Allium scorodoprasum L. [s.l.]	Allium scorodoprasum	Allium		MATCHED
Allium senescens L.	Allium senescens	Allium		MATCHED
Allium sphaerocephalon L.	Allium sphaerocephalon	Allium		MATCHED
Allium suaveolens Jacq.	Allium suaveolens	Allium		MATCHED
Allium ursinum L.	Allium ursinum	Allium		MATCHED
Allium victorialis L.	Allium victorialis	Allium		MATCHED
Allium vineale L. [s.str.]	Allium vineale	Allium		MATCHED
Alnus alnobetula (Ehrh.) Hartig	Alnus alnobetula	Alnus		MATCHED
Alnus glutinosa (L.) Gaertn.	Alnus glutinosa	Alnus		MATCHED
Alnus incana (L.) Moench	Alnus incana	Alnus		MATCHED
Aloina rigida (Hedw.) Limpr.	Aloina rigida	Aloina		MATCHED
Alopecurus aequalis Sobol.	Alopecurus aequalis	Alopecurus	13	MATCHED
Alopecurus geniculatus L.	Alopecurus geniculatus	Alopecurus	13	MATCHED
Alopecurus myosuroides Huds.	Alopecurus myosuroides	Alopecurus		MATCHED
Alopecurus pratensis L.	Alopecurus pratensis	Alopecurus		MATCHED
Althaea hirsuta L.	Althaea hirsuta	Althaea		MATCHED
Althaea officinalis L.	Althaea officinalis	Althaea		MATCHED
Alyssum alyssoides (L.) L.	Alyssum alyssoides	Alyssum		MATCHED
Alyssum montanum L. [s.l.]	Alyssum montanum	Alyssum		MATCHED
Amaranthus albus L.	Amaranthus albus	Amaranthus		MATCHED
Amaranthus blitoides S. Watson	Amaranthus blitoides	Amaranthus		MATCHED
Amaranthus caudatus L.	Amaranthus caudatus	Amaranthus		MATCHED
Amaranthus cruentus L.	Amaranthus cruentus	Amaranthus		MATCHED
Amaranthus deflexus L.	Amaranthus deflexus	Amaranthus		MATCHED
Amaranthus graecizans L.	Amaranthus graecizans	Amaranthus		MATCHED
Amaranthus hybridus L. [s.str.]	Amaranthus hybridus	Amaranthus		MATCHED
Amaranthus hypochondriacus L.	Amaranthus hypochondriacus	Amaranthus		MATCHED
Amaranthus powellii S. Watson	Amaranthus powellii	Amaranthus		MATCHED
Amaranthus retroflexus L.	Amaranthus retroflexus	Amaranthus		MATCHED
Amblyodon dealbatus (Hedw.) P. Beauv.	Amblyodon dealbatus	Amblyodon	13	MATCHED
Amblystegium serpens (Hedw.) Schimp.	Amblystegium serpens	Amblystegium		MATCHED
Ambrosia artemisiifolia L.	Ambrosia artemisiifolia	Ambrosia		MATCHED
Ambrosia trifida L.	Ambrosia trifida	Ambrosia		MATCHED
Amelanchier canadensis (L.) Medik.	Amelanchier canadensis	Amelanchier		MATCHED
Amelanchier laevis Wiegand	Amelanchier laevis	Amelanchier		MATCHED
Ammi majus L.	Ammi majus	Ammi	17	MATCHED
Amorpha fruticosa L.	Amorpha fruticosa	Amorpha		MATCHED
Amphidium lapponicum (Hedw.) Schimp.	Amphidium lapponicum	Amphidium	14	MATCHED
Amphidium mougeotii (Bruch &amp; Schimp.) Schimp.	Amphidium mougeotii	Amphidium		MATCHED
Anacamptis coriophora (L.) R.M. Bateman, Pridgeon &amp; M.W. Chase	Anacamptis coriophora	Anacamptis	13, 25, 27	MATCHED
Anacamptis laxiflora (Lam.) R.M. Bateman, Pridgeon &amp; M.W. Chase	Anacamptis laxiflora	Anacamptis	13, 25, 27	MATCHED
Anacamptis morio (L.) R.M. Bateman, Pridgeon &amp; M.W. Chase	Anacamptis morio	Anacamptis	13, 25, 27	MATCHED
Anacamptis pyramidalis (L.) Rich.	Anacamptis pyramidalis	Anacamptis	13, 25, 27	MATCHED
Anacamptodon splachnoides (Brid.) Brid.	Anacamptodon splachnoides	Anacamptodon		MATCHED
Anagallis arvensis L.	Anagallis arvensis	Anagallis		MATCHED
Anastrophyllum michauxii (F. Weber) H. Buch	Anastrophyllum michauxii	Anastrophyllum		MATCHED
Anchusa azurea Mill.	Anchusa azurea	Anchusa		MATCHED
Andreaea nivalis Hook.	Andreaea nivalis	Andreaea		MATCHED
Andreaea rothii F. Weber &amp; D. Mohr	Andreaea rothii	Andreaea		MATCHED
Andreaea rupestris Hedw.	Andreaea rupestris	Andreaea	14	MATCHED
Andromeda polifolia L.	Andromeda polifolia	Andromeda	13	MATCHED
Androsace chamaejasme Wulfen	Androsace chamaejasme	Androsace		MATCHED
Anemone nemorosa L.	Anemone nemorosa	Anemone		MATCHED
Anemone ranunculoides L.	Anemone ranunculoides	Anemone		MATCHED
Anethum graveolens L.	Anethum graveolens	Anethum		MATCHED
Aneura pinguis (L.) Dumort.	Aneura pinguis	Aneura	13	MATCHED
Angelica sylvestris L.	Angelica sylvestris	Angelica		MATCHED
Anomobryum concinnatum (Spruce) Lindb.	Anomobryum concinnatum	Anomobryum		MATCHED
Anomobryum julaceum (G. Gaertn., B. Mey. &amp; Scherb.) Schimp.	Anomobryum julaceum	Anomobryum		MATCHED
Anomodon longifolius (Brid.) Hartm.	Anomodon longifolius	Anomodon		MATCHED
Anomodon rugelii (Müll. Hal.) Keissl.	Anomodon rugelii	Anomodon		MATCHED
Anomodon viticulosus (Hedw.) Hook. &amp; Taylor	Anomodon viticulosus	Anomodon		MATCHED
Antennaria carpatica (Wahlenb.) Bluff &amp; Fingerh.	Antennaria carpatica	Antennaria		MATCHED
Antennaria dioica (L.) Gaertn.	Antennaria dioica	Antennaria		MATCHED
Anthemis arvensis L.	Anthemis arvensis	Anthemis		MATCHED
Anthemis cotula L.	Anthemis cotula	Anthemis		MATCHED
Anthemis tinctoria L.	Anthemis tinctoria	Anthemis		MATCHED
Anthericum ramosum L.	Anthericum ramosum	Anthericum		MATCHED
Anthoxanthum nipponicum Hook.	Anthoxanthum nipponicum	Anthoxanthum		MATCHED
Anthoxanthum odoratum L.	Anthoxanthum odoratum	Anthoxanthum		MATCHED
Anthriscus caucalis M. Bieb.	Anthriscus caucalis	Anthriscus	17	MATCHED
Anthriscus cerefolium (L.) Hoffm.	Anthriscus cerefolium	Anthriscus		MATCHED
Anthriscus sylvestris (L.) Hoffm.	Anthriscus sylvestris	Anthriscus		MATCHED
Anthyllis vulneraria L. [s.l.]	Anthyllis vulneraria	Anthyllis		MATCHED
Antirrhinum majus L.	Antirrhinum majus	Antirrhinum		MATCHED
Antitrichia curtipendula (Hedw.) Brid.	Antitrichia curtipendula	Antitrichia	13	MATCHED
Apera interrupta (L.) P. Beauv.	Apera interrupta	Apera		MATCHED
Apera spica-venti (L.) P. Beauv.	Apera spica-venti	Apera		MATCHED
Aphanes arvensis L.	Aphanes arvensis	Aphanes		MATCHED
Apium graveolens L.	Apium graveolens	Apium	17	MATCHED
Apopellia endiviifolia (Dicks.) Nebel &amp; D. Quandt	Apopellia endiviifolia	Apopellia		MATCHED
Aquilegia atrata Koch	Aquilegia atrata	Aquilegia		MATCHED
Aquilegia einseleana F. W. Schultz	Aquilegia einseleana	Aquilegia		MATCHED
Aquilegia nigricans Baumg.	Aquilegia nigricans	Aquilegia		MATCHED
Aquilegia vulgaris L. [s.str.]	Aquilegia vulgaris	Aquilegia		MATCHED
Arabidopsis thaliana (L.) Heynh.	Arabidopsis thaliana	Arabidopsis		MATCHED
Arabis alpina L. [s.l.]	Arabis alpina	Arabis		MATCHED
Arabis bellidifolia Crantz	Arabis bellidifolia	Arabis		MATCHED
Arabis caerulea All.	Arabis caerulea	Arabis		MATCHED
Arabis hirsuta (L.) Scop. [s.str.]	Arabis hirsuta	Arabis		MATCHED
Arabis sagittata (Bertol.) DC.	Arabis sagittata	Arabis		MATCHED
Arabis scopoliana Boiss.	Arabis scopoliana	Arabis	7, 8, 14, 25, 27, 34, 50	MATCHED
Arabis soyeri Reut. &amp; Huet	Arabis soyeri	Arabis		MATCHED
Arabis vochinensis Spreng.	Arabis vochinensis	Arabis		MATCHED
Aralia elata (Miq.) Seem.	Aralia elata	Aralia		MATCHED
Aralia spinosa L.	Aralia spinosa	Aralia		MATCHED
Arbutus unedo L.	Arbutus unedo	Arbutus	13	MATCHED
Arceuthobium oxycedri (DC.) M.Bieb.	Arceuthobium oxycedri	Arceuthobium	14	MATCHED
Archidium alternifolium (Hedw.) Schimp.	Archidium alternifolium	Archidium		MATCHED
Arctium lappa L.	Arctium lappa	Arctium		MATCHED
Arctium minus (Hill.) Bernh.	Arctium minus	Arctium		MATCHED
Arctium tomentosum Mill.	Arctium tomentosum	Arctium		MATCHED
Arctostaphylos uva-ursi (L.) Spreng.	Arctostaphylos uva-ursi	Arctostaphylos	25, 26, 29	MATCHED
Arenaria ciliata L. [s.str.]	Arenaria ciliata	Arenaria		MATCHED
Arenaria leptoclados (Rchb.) Guss.	Arenaria leptoclados	Arenaria		MATCHED
Arenaria serpyllifolia L. [s.str.]	Arenaria serpyllifolia	Arenaria		MATCHED
Aristolochia clematitis L.	Aristolochia clematitis	Aristolochia		MATCHED
Armoracia rusticana Gaertn., Mey. &amp; Scherb.	Armoracia rusticana	Armoracia		MATCHED
Arnica montana L.	Arnica montana	Arnica	9, 13, 25, 26, 29	MATCHED
Arnoseris minima (L.) Schweigg. &amp; Körte	Arnoseris minima	Arnoseris		MATCHED
Arrhenatherum elatius (L.) J. &amp; C. Presl	Arrhenatherum elatius	Arrhenatherum		MATCHED
Artemisia abrotanum L.	Artemisia abrotanum	Artemisia		MATCHED
Artemisia absinthium L.	Artemisia absinthium	Artemisia		MATCHED
Artemisia annua L.	Artemisia annua	Artemisia		MATCHED
Artemisia atrata Lam.	Artemisia atrata	Artemisia	13	MATCHED
Artemisia campestris L.	Artemisia campestris	Artemisia		MATCHED
Artemisia dracunculus L.	Artemisia dracunculus	Artemisia		MATCHED
Artemisia pontica L.	Artemisia pontica	Artemisia		MATCHED
Artemisia scoparia Waldst. &amp; Kit.	Artemisia scoparia	Artemisia		MATCHED
Artemisia vulgaris L.	Artemisia vulgaris	Artemisia		MATCHED
Arthrocnemum macrostachyum (Moric.) Moris	Arthrocnemum macrostachyum	Arthrocnemum	13	MATCHED
Arum italicum Mill.	Arum italicum	Arum		MATCHED
Arum maculatum L.	Arum maculatum	Arum		MATCHED
Aruncus dioicus (Walter) Fernald	Aruncus dioicus	Aruncus		MATCHED
Arundo donax L.	Arundo donax	Arundo		MATCHED
Asarum europaeum L.	Asarum europaeum	Asarum		MATCHED
Aschisma carniolicum (F. Weber &amp; D. Mohr) Lindb.	Aschisma carniolicum	Aschisma	11	MATCHED
Asclepias syriaca L.	Asclepias syriaca	Asclepias	5	MATCHED
Asparagus acutifolius L.	Asparagus acutifolius	Asparagus		MATCHED
Asparagus officinalis L.	Asparagus officinalis	Asparagus		MATCHED
Asperugo procumbens L.	Asperugo procumbens	Asperugo		MATCHED
Asperula arvensis L.	Asperula arvensis	Asperula		MATCHED
Asperula cynanchica L.	Asperula cynanchica	Asperula		MATCHED
Asplenium adulterinum Milde	Asplenium adulterinum	Asplenium	7, 8, 14, 25, 27, 34, 50	MATCHED
Asplenium ruta-muraria L.	Asplenium ruta-muraria	Asplenium		MATCHED
Asplenium septentrionale (L.) Hoffm.	Asplenium septentrionale	Asplenium		MATCHED
Asplenium trichomanes L.	Asplenium trichomanes	Asplenium		MATCHED
Asplenium viride Huds.	Asplenium viride	Asplenium		MATCHED
Aster alpinus L.	Aster alpinus	Aster		MATCHED
Aster amellus L.	Aster amellus	Aster		MATCHED
Astragalus alpinus L.	Astragalus alpinus	Astragalus	17	MATCHED
Astragalus australis (L.) Lam.	Astragalus australis	Astragalus	14, 17	MATCHED
Astragalus cicer L.	Astragalus cicer	Astragalus	17	MATCHED
Astragalus depressus L.	Astragalus depressus	Astragalus	14, 17	MATCHED
Astragalus exscapus L.	Astragalus exscapus	Astragalus	17	MATCHED
Astragalus glycyphyllos L.	Astragalus glycyphyllos	Astragalus	17	MATCHED
Astragalus hamosus L.	Astragalus hamosus	Astragalus	10, 17	MATCHED
Astrantia major L. [s.l.]	Astrantia major	Astrantia		MATCHED
Asyneuma canescens (Waldst. &amp; Kit.) Griseb. &amp; Schenk	Asyneuma canescens	Asyneuma	17	MATCHED
Athamanta cretensis L.	Athamanta cretensis	Athamanta		MATCHED
Athamanta turbith L. Brot., em. Karsten.	Athamanta turbith	Athamanta		MATCHED
Athyrium distentifolium Tausch ex Opiz	Athyrium distentifolium	Athyrium		MATCHED
Atocion armeria (L.) Raf.	Atocion armeria	Atocion		MATCHED
Atocion rupestre (L.) Oxelman	Atocion rupestre	Atocion		MATCHED
Atrichum angustatum (Brid.) Bruch &amp; Schimp.	Atrichum angustatum	Atrichum		MATCHED
Atrichum tenellum (Röhl.) Bruch &amp; Schimp.	Atrichum tenellum	Atrichum		MATCHED
Atrichum undulatum (Hedw.) P. Beauv.	Atrichum undulatum	Atrichum		MATCHED
Atriplex hortensis L.	Atriplex hortensis	Atriplex		MATCHED
Atriplex oblongifolia Waldst. &amp; Kit.	Atriplex oblongifolia	Atriplex	11	MATCHED
Atriplex patula L.	Atriplex patula	Atriplex		MATCHED
Atriplex prostrata Bouch. ex DC.	Atriplex prostrata	Atriplex	13	MATCHED
Atriplex rosea L.	Atriplex rosea	Atriplex	11	MATCHED
Atriplex tatarica L.	Atriplex tatarica	Atriplex	12	MATCHED
Aulacomnium palustre (Hedw.) Schwägr.	Aulacomnium palustre	Aulacomnium		MATCHED
Aurinia petraea (Ard.) Schur	Aurinia petraea	Aurinia		MATCHED
Aurinia saxatilis (L.) Desv.	Aurinia saxatilis	Aurinia		MATCHED
Avena barbata Pott ex Link	Avena barbata	Avena		MATCHED
Avena fatua L.	Avena fatua	Avena		MATCHED
Avena sativa L.	Avena sativa	Avena		MATCHED
Avena sterilis L.	Avena sterilis	Avena		MATCHED
Azolla filiculoides Lam.	Azolla filiculoides	Azolla		MATCHED
Baldellia ranunculoides (L.) Parl.	Baldellia ranunculoides	Baldellia	12	MATCHED
Ballota nigra L. [s.l.]	Ballota nigra	Ballota	17	MATCHED
Barbarea stricta Andrz.	Barbarea stricta	Barbarea		MATCHED
Barbarea vulgaris R. Br.	Barbarea vulgaris	Barbarea		MATCHED
Barbilophozia barbata (Schreb.) Loeske	Barbilophozia barbata	Barbilophozia		MATCHED
Barbilophozia hatcheri (A. Evans) Loeske	Barbilophozia hatcheri	Barbilophozia		MATCHED
Barbilophozia lycopodioides (Wallr.) Loeske	Barbilophozia lycopodioides	Barbilophozia		MATCHED
Barbilophozia sudetica (Huebener) L. Söderstr., De Roo &amp; Hedd.	Barbilophozia sudetica	Barbilophozia		MATCHED
Barbula unguiculata Hedw.	Barbula unguiculata	Barbula		MATCHED
Bartramia halleriana Hedw.	Bartramia halleriana	Bartramia		MATCHED
Bartramia ithyphylla Brid.	Bartramia ithyphylla	Bartramia		MATCHED
Bartramia pomiformis Hedw.	Bartramia pomiformis	Bartramia		MATCHED
Bartsia alpina L.	Bartsia alpina	Bartsia		MATCHED
Bassia scoparia (L.) A. J. Scott	Bassia scoparia	Bassia		MATCHED
Bazzania tricrenata (Wahlenb.) Lindb.	Bazzania tricrenata	Bazzania		MATCHED
Bazzania trilobata (L.) Gray	Bazzania trilobata	Bazzania		MATCHED
Bellis perennis L.	Bellis perennis	Bellis		MATCHED
Benincasa hispida (Thunb.) Cogn.	Benincasa hispida	Benincasa		MATCHED
Berberis julianae C.K. Schneid.	Berberis julianae	Berberis		MATCHED
Berberis thunbergii DC.	Berberis thunbergii	Berberis		MATCHED
Berberis vulgaris L.	Berberis vulgaris	Berberis		MATCHED
Berteroa incana (L.) DC.	Berteroa incana	Berteroa		MATCHED
Berula erecta (Huds.) Coville	Berula erecta	Berula		MATCHED
Beta vulgaris L. [s. l.]	Beta vulgaris	Beta		MATCHED
Betonica officinalis L.	Betonica officinalis	Betonica		MATCHED
Betula nana L.	Betula nana	Betula	10	MATCHED
Betula pendula Roth	Betula pendula	Betula		MATCHED
Betula pubescens Ehrh. [s.str.]	Betula pubescens	Betula		MATCHED
Bidens bipinnata L.	Bidens bipinnata	Bidens		MATCHED
Bidens cernua L.	Bidens cernua	Bidens		MATCHED
Bidens connata Mühlenb. ex Willd.	Bidens connata	Bidens		MATCHED
Bidens frondosa L.	Bidens frondosa	Bidens		MATCHED
Bidens pilosa L.	Bidens pilosa	Bidens		MATCHED
Bidens tripartita L.	Bidens tripartita	Bidens		MATCHED
Bidens vulgata Greene	Bidens vulgata	Bidens		MATCHED
Bifora radians M. Bieb.	Bifora radians	Bifora		MATCHED
Bifora testiculata (L.) Schult.	Bifora testiculata	Bifora	17	MATCHED
Biscutella laevigata L.	Biscutella laevigata	Biscutella		MATCHED
Blackstonia perfoliata (L.) Huds. [s.l.]	Blackstonia perfoliata	Blackstonia		MATCHED
Blechnum spicant (L.) Roth	Blechnum spicant	Blechnum		MATCHED
Blepharostoma trichophyllum (L.) Dumort.	Blepharostoma trichophyllum	Blepharostoma		MATCHED
Blindia acuta (Hedw.) Bruch &amp; Schimp.	Blindia acuta	Blindia	14	MATCHED
Blindiadelphus recurvatus (Hedw.) Fedosov &amp; Ignatov	Blindiadelphus recurvatus	Blindiadelphus		MATCHED
Bolboschoenus laticarpus Marhold, Hroudová, Ducháček &amp; Zákr.	Bolboschoenus laticarpus	Bolboschoenus		MATCHED
Bolboschoenus maritimus (L.) Palla	Bolboschoenus maritimus	Bolboschoenus	13	MATCHED
Bolboschoenus planiculmis (F. Schmidt) T. V. Egorova	Bolboschoenus planiculmis	Bolboschoenus		MATCHED
Bombycilaena erecta (L.) Smoljan.	Bombycilaena erecta	Bombycilaena		MATCHED
Borago officinalis L.	Borago officinalis	Borago		MATCHED
Bothriochloa ischaemum (L.) Keng	Bothriochloa ischaemum	Bothriochloa		MATCHED
Botrychium lunaria (L.) Sw.	Botrychium lunaria	Botrychium		MATCHED
Brachydontium trichodes (F. Weber) Milde	Brachydontium trichodes	Brachydontium	13	MATCHED
Brachypodium distachyon (L.) P. Beauv.	Brachypodium distachyon	Brachypodium	14	MATCHED
Brachypodium pinnatum (L.) P. Beauv.	Brachypodium pinnatum	Brachypodium		MATCHED
Brachypodium sylvaticum (Huds.) P. Beauv.	Brachypodium sylvaticum	Brachypodium		MATCHED
Brachytheciastrum collinum (Müll. Hal.) Ignatov &amp; Huttunen	Brachytheciastrum collinum	Brachytheciastrum	14	MATCHED
Brachytheciastrum olympicum (Jur.) Vanderp., Ignatov, Huttunen &amp; Goffinet	Brachytheciastrum olympicum	Brachytheciastrum		MATCHED
Brachytheciastrum trachypodium (Brid.) Ignatov &amp; Huttunen	Brachytheciastrum trachypodium	Brachytheciastrum	13	MATCHED
Brachytheciastrum velutinum (Hedw.) Ignatov &amp; Huttunen	Brachytheciastrum velutinum	Brachytheciastrum		MATCHED
Brachythecium albicans (Hedw.) Schimp.	Brachythecium albicans	Brachythecium		MATCHED
Brachythecium campestre (Müll. Hal.) Schimp.	Brachythecium campestre	Brachythecium		MATCHED
Brachythecium cirrosum (Schwägr.) Schimp.	Brachythecium cirrosum	Brachythecium		MATCHED
Brachythecium erythrorrhizon Schimp.	Brachythecium erythrorrhizon	Brachythecium	13	MATCHED
Brachythecium glareosum (Spruce) Schimp.	Brachythecium glareosum	Brachythecium		MATCHED
Brachythecium laetum (Brid.) Schimp.	Brachythecium laetum	Brachythecium		MATCHED
Brachythecium mildeanum (Schimp.) Schimp.	Brachythecium mildeanum	Brachythecium		MATCHED
Brachythecium rivulare Schimp.	Brachythecium rivulare	Brachythecium		MATCHED
Brachythecium rutabulum (Hedw.) Schimp.	Brachythecium rutabulum	Brachythecium		MATCHED
Brachythecium salebrosum (F. Weber &amp; D. Mohr) Schimp.	Brachythecium salebrosum	Brachythecium		MATCHED
Brachythecium tommasinii (Boulay) Ignatov &amp; Huttunen	Brachythecium tommasinii	Brachythecium		MATCHED
Brachythecium turgidum (Hartm.) Kindb.	Brachythecium turgidum	Brachythecium		MATCHED
Brassica napus L.	Brassica napus	Brassica		MATCHED
Brassica nigra (L.) Koch	Brassica nigra	Brassica		MATCHED
Brassica oleracea L.	Brassica oleracea	Brassica		MATCHED
Brassica rapa L.	Brassica rapa	Brassica		MATCHED
Briza maxima L.	Briza maxima	Briza	14	MATCHED
Briza media L.	Briza media	Briza		MATCHED
Bromus arvensis L.	Bromus arvensis	Bromus		MATCHED
Bromus catharticus Vahl.	Bromus catharticus	Bromus		MATCHED
Bromus commutatus Schrad. [s.l.]	Bromus commutatus	Bromus		MATCHED
