Sample,Merged,Non_chimeric,Percent_retained
LME1636,29761,24014,80.69
LME1637,11325,9967,88.01
LME1656,59596,49390,82.87
LME1663,11024,10967,99.48
LME1668,34294,32942,96.06
LME1670,22141,20514,92.65
LME1679,30443,25324,83.18
LME1689,11857,10395,87.67
LME1692,32344,24531,75.84
LME1695,35417,33699,95.15
LME1698,43366,42260,97.45
LME1701,44924,43923,97.77
LME1702,44019,41686,94.7
LME1705,54710,51885,94.84
LME1708,34341,32274,93.98
LME1714,33504,31334,93.52
