ASV,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714
ASV174,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV175,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV176,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV177,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV178,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0
ASV18,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV180,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0
ASV181,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0
ASV183,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0
ASV184,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0
ASV185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0
ASV186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
ASV187,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
ASV188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
ASV189,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
ASV19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4416
ASV191,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
ASV193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
ASV196,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0
ASV197,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV198,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
ASV199,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
ASV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11211,0,0,0,0,0
ASV20,0,0,0,0,0,0,0,0,0,0,0,4251,0,0,0,0,0,0,0,0
ASV202,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
ASV203,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
ASV206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0
ASV207,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV208,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0
ASV21,0,0,0,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0
ASV211,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV212,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
ASV214,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV215,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
ASV216,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
ASV217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
ASV218,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
ASV219,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
ASV22,0,0,0,0,0,0,3653,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV220,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
ASV221,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV222,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV223,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
ASV225,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
ASV228,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV229,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
ASV23,0,0,0,0,2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV231,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV233,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV234,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV235,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV236,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV239,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
ASV24,0,0,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0,0,0,0
ASV241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
ASV242,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV243,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
ASV245,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
ASV246,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
ASV247,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV248,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
ASV249,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
ASV25,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,0,0,0,0,0,0
ASV250,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
ASV252,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV253,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV254,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
ASV256,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
ASV257,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
ASV259,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV26,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,0,0,0
ASV260,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
ASV261,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV263,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
ASV264,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
ASV266,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV267,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
ASV269,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV27,0,0,0,0,0,0,0,1987,0,0,0,0,0,0,0,0,0,0,0,0
ASV270,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
ASV271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
ASV272,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
ASV273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
ASV274,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
ASV276,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
ASV277,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV278,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
ASV279,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
ASV28,0,0,0,0,0,0,0,0,0,0,1959,0,0,0,0,0,0,0,0,0
ASV281,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV282,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
ASV284,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
ASV286,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
ASV287,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
ASV288,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
ASV289,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
ASV29,0,0,0,0,0,0,0,0,1909,0,0,0,0,0,0,0,0,0,0,0
ASV290,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
ASV291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
ASV292,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV293,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV294,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV295,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
ASV297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
ASV298,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
ASV299,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
ASV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10877,0,0
ASV30,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,0,0,0,0,0
ASV300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
ASV301,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
