"","LME1636","LME1637","LME1656","LME1663","LME1668","LME1670","LME1679","LME1689","LME1692","LME1695","LME1698","LME1701","LME1702","LME1705","LME1708","LME1714"
"ASV121",0,0,0,0,183,0,0,0,0,23,0,0,23,0,0,0
"ASV123",0,0,0,0,0,15,57,32,41,0,0,22,24,0,35,0
"ASV124",0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV125",11,0,20,0,0,16,0,0,2,0,0,34,32,37,20,43
"ASV127",30,0,0,0,0,0,0,39,0,0,0,0,0,0,91,52
"ASV128",0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129",0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV130",0,0,0,0,0,0,148,0,56,0,0,0,0,0,0,0
"ASV131",0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0
"ASV132",158,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
"ASV133",0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV135",0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV137",0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV140",0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV143",132,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
"ASV146",0,32,0,0,0,0,0,0,7,0,54,0,51,13,0,22
"ASV151",0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV152",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,117
"ASV154",167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV155",0,0,0,0,0,27,0,0,0,0,0,74,0,66,0,0
"ASV157",0,0,0,0,0,0,0,0,0,130,0,0,0,36,0,0
"ASV158",0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV159",66,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0
"ASV160",0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0
"ASV161",0,0,0,0,0,12,0,0,0,0,0,0,32,37,27,55
"ASV162",0,0,0,0,0,0,0,0,0,0,43,0,0,0,120,0
"ASV165",0,0,0,0,0,17,0,5,0,0,0,0,92,0,48,0
"ASV167",0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV170",0,0,0,0,0,29,0,0,0,0,64,0,0,56,0,0
"ASV171",0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,35
"ASV174",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV177",0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0
"ASV179",0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV180",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV182",0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV183",0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
"ASV188",0,0,0,0,110,0,0,0,0,0,0,0,0,0,13,10
"ASV189",0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0
"ASV195",0,0,0,0,0,0,24,0,0,44,33,0,0,0,22,0
"ASV197",0,0,0,0,56,0,0,0,0,35,0,0,0,0,31,0
"ASV198",28,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57
"ASV200",119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV201",0,0,0,0,65,0,0,0,0,37,0,0,0,0,17,0
"ASV202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
"ASV203",88,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
"ASV204",0,0,0,0,69,0,0,0,0,36,0,0,0,0,13,0
"ASV206",115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV207",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV211",112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV216",0,0,0,0,0,76,0,0,0,0,0,0,0,0,34,0
"ASV218",0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0
"ASV219",108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV223",0,0,18,0,0,35,0,0,0,7,0,0,0,0,44,4
"ASV224",0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
"ASV226",0,0,0,0,77,0,0,0,0,30,0,0,0,0,0,0
"ASV229",0,0,0,0,0,0,0,0,0,0,0,38,45,23,0,0
"ASV231",0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV233",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV235",23,0,0,0,0,0,14,0,0,0,0,0,0,0,64,0
"ASV236",0,0,0,0,0,0,41,0,0,0,0,52,0,0,0,6
"ASV243",0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV244",0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0
"ASV247",72,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"ASV248",8,0,0,0,0,14,19,18,0,0,0,0,0,0,17,17
"ASV251",0,0,0,0,0,0,0,0,0,42,0,0,0,0,50,0
"ASV254",0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"ASV257",0,0,0,0,0,0,55,0,0,0,0,0,30,0,0,0
"ASV265",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV267",0,0,0,0,0,0,0,0,0,30,0,0,0,0,51,0
"ASV268",0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
"ASV269",0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV270",0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
"ASV275",0,0,0,0,0,0,0,64,15,0,0,0,0,0,0,0
"ASV276",0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
"ASV281",0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV282",0,0,0,0,0,0,0,0,0,33,0,0,0,0,41,0
"ASV284",0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV286",0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV289",0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV290",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
