"","LME1636","LME1637","LME1656","LME1663","LME1668","LME1670","LME1679","LME1689","LME1692","LME1695","LME1698","LME1701","LME1702","LME1705","LME1708","LME1714"
"ASV802",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"ASV806",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"ASV810",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"ASV813",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"ASV816",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV817",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV818",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV820",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"ASV836",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"ASV840",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"ASV842",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"ASV843",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"ASV844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"ASV845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"ASV846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"ASV854",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV855",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV856",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV859",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"ASV862",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"ASV865",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"ASV867",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"ASV871",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"ASV873",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"ASV874",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"ASV876",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"ASV879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ASV880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"ASV881",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV886",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV897",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"ASV902",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"ASV903",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"ASV905",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"ASV908",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"ASV909",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"ASV914",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"ASV915",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"ASV919",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"ASV921",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"ASV922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ASV923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"ASV925",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV935",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV938",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"ASV942",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ASV943",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ASV951",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"ASV955",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"ASV961",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ASV962",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"ASV966",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"ASV968",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ASV969",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ASV971",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
"ASV972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"ASV973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"ASV975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ASV976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ASV977",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV981",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV990",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV993",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ASV995",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV999",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV1014",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"ASV1017",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"ASV1026",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"ASV1028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ASV1029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ASV1031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ASV1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ASV1033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ASV1035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ASV1037",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1040",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1041",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1053",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1057",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV1058",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV1060",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV1061",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV1064",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV1066",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV1068",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV1072",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ASV1086",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ASV1087",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ASV1089",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ASV1090",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ASV1094",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ASV1100",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ASV1102",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ASV1103",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ASV1104",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ASV1114",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ASV1116",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ASV1123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ASV1125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ASV1137",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1146",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1153",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ASV1154",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV1157",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV1159",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV1160",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV1178",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV1190",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV1206",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV1209",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ASV1215",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ASV1233",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV1234",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV1235",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV1237",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV1238",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV1240",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV1241",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV1242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV1245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV1252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV1256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV1257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV1261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ASV1312",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV1336",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV1337",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV1374",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
