"","LME1636","LME1637","LME1656","LME1663","LME1668","LME1670","LME1679","LME1689","LME1692","LME1695","LME1698","LME1701","LME1702","LME1705","LME1708","LME1714"
"ASV40",22,0,0,0,0,126,172,81,61,0,0,67,48,0,41,0
"ASV41",34,34,83,0,46,148,41,49,0,37,0,0,0,39,105,0
"ASV42",0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV43",0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV44",0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV45",0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV46",0,0,4,0,32,35,0,38,35,0,24,22,142,46,107,93
"ASV47",0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV48",0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV49",0,0,0,0,0,92,82,107,47,0,0,0,87,20,53,69
"ASV50",237,0,0,273,0,0,0,0,0,0,0,0,0,44,0,0
"ASV51",13,0,29,0,19,21,18,1,0,33,38,66,24,178,36,68
"ASV52",32,0,47,0,0,174,26,60,0,0,0,0,0,0,201,0
"ASV53",0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV54",0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV55",0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV56",11,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV57",0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV58",0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV59",0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV60",0,0,0,0,448,0,13,0,0,0,0,0,0,0,0,0
"ASV61",23,0,14,0,4,0,50,181,185,0,0,0,0,0,0,0
"ASV62",0,0,0,0,34,19,53,0,110,0,9,10,71,31,76,41
"ASV63",90,99,0,0,0,0,213,0,0,0,0,0,0,0,39,0
"ASV64",0,0,0,0,48,164,49,0,0,0,0,0,0,0,178,0
"ASV65",0,0,0,0,0,0,0,0,0,0,0,147,288,0,0,0
"ASV66",0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV67",0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV68",6,0,89,0,36,11,22,3,0,53,19,26,27,26,46,62
"ASV69",0,0,0,0,0,0,0,0,0,0,117,71,109,127,0,0
"ASV70",0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV71",0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0
"ASV72",0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV73",0,0,0,0,0,0,0,327,53,0,0,0,0,0,0,0
"ASV74",0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV75",0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV76",0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV77",0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV78",0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV79",46,0,0,0,0,0,104,0,205,0,0,0,0,0,0,0
"ASV80",0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV81",0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV82",0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV83",0,0,0,0,0,0,0,0,0,200,0,0,0,138,0,0
"ASV84",0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV85",0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV86",249,27,0,0,0,14,29,0,0,0,0,0,0,0,0,0
"ASV87",0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV88",0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0
"ASV89",49,0,0,0,69,0,0,0,0,0,0,0,182,0,0,0
"ASV90",0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV91",0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV92",0,0,0,0,17,0,0,22,0,63,0,84,0,33,0,73
"ASV93",0,0,0,0,0,0,0,0,0,152,0,0,140,0,0,0
"ASV94",0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV95",243,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
"ASV96",0,0,0,0,44,0,75,0,0,0,0,0,38,18,61,47
"ASV97",166,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0
"ASV98",0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV99",0,0,0,0,0,153,0,0,0,0,0,0,0,0,122,0
"ASV100",0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0
"ASV101",0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV102",0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV103",0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV104",0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV105",0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0
"ASV106",21,0,32,0,0,91,15,13,0,0,0,0,0,0,79,0
"ASV107",0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV108",9,18,0,0,0,9,25,10,107,16,0,0,7,0,0,45
"ASV109",0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV110",0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV111",0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0
"ASV112",0,0,0,0,93,0,0,0,0,0,0,0,85,0,0,63
"ASV113",0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV114",186,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"ASV115",126,0,0,0,65,0,0,0,0,0,0,0,0,44,0,0
"ASV116",210,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"ASV117",23,27,0,0,6,13,0,13,0,0,24,13,30,0,0,85
"ASV118",0,0,42,0,0,0,9,46,0,0,85,0,0,33,19,0
"ASV119",45,34,0,0,0,0,144,0,9,0,0,0,0,0,0,0
"ASV120",0,0,0,0,0,0,0,0,0,13,194,23,0,0,0,0
"ASV121",0,0,0,0,183,0,0,0,0,23,0,0,23,0,0,0
"ASV122",0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",0,0,0,0,0,15,57,32,41,0,0,22,24,0,35,0
"ASV124",0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV125",11,0,20,0,0,16,0,0,2,0,0,34,32,37,20,43
"ASV126",0,0,0,0,21,0,0,0,0,0,0,0,89,0,52,53
"ASV127",30,0,0,0,0,0,0,39,0,0,0,0,0,0,91,52
"ASV128",0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129",0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV130",0,0,0,0,0,0,148,0,56,0,0,0,0,0,0,0
"ASV131",0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0
"ASV132",158,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
"ASV133",0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV134",0,0,0,0,0,89,0,0,0,0,0,0,0,0,110,0
"ASV135",0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV136",0,0,19,0,34,25,19,0,0,0,0,0,41,0,31,24
"ASV137",0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV138",0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV139",121,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"ASV140",0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV141",0,0,0,0,0,100,0,0,0,0,0,0,0,0,85,0
"ASV142",0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0
"ASV143",132,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
"ASV144",0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0
"ASV145",0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0
"ASV146",0,32,0,0,0,0,0,0,7,0,54,0,51,13,0,22
"ASV147",0,0,0,39,0,3,9,0,0,28,17,0,19,20,16,28
"ASV148",0,0,0,0,0,0,0,0,0,83,0,94,0,0,0,0
"ASV149",10,0,16,0,0,0,10,65,73,0,0,2,0,0,0,0
"ASV150",0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV151",0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV152",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,117
"ASV153",0,0,0,0,0,0,46,125,0,0,0,0,0,0,0,0
"ASV154",167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV155",0,0,0,0,0,27,0,0,0,0,0,74,0,66,0,0
"ASV156",145,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"ASV157",0,0,0,0,0,0,0,0,0,130,0,0,0,36,0,0
"ASV158",0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV159",66,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0
"ASV160",0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0
"ASV161",0,0,0,0,0,12,0,0,0,0,0,0,32,37,27,55
"ASV162",0,0,0,0,0,0,0,0,0,0,43,0,0,0,120,0
"ASV163",110,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
"ASV164",0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV165",0,0,0,0,0,17,0,5,0,0,0,0,92,0,48,0
"ASV166",0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV167",0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV168",0,0,126,0,0,30,0,0,0,0,0,0,0,0,0,0
"ASV169",0,0,0,0,0,0,53,0,99,0,0,0,0,0,0,0
"ASV170",0,0,0,0,0,29,0,0,0,0,64,0,0,56,0,0
"ASV171",0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,35
"ASV172",132,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"ASV173",0,0,0,0,32,0,0,0,0,60,0,0,55,0,0,0
"ASV174",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV175",97,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"ASV176",0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV177",0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0
"ASV178",0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0
"ASV179",0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV180",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV181",0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV182",0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV183",0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
"ASV184",0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV185",0,0,0,0,0,0,35,0,70,15,0,0,0,0,0,17
"ASV186",0,0,4,0,0,0,0,0,0,13,57,15,21,26,0,0
"ASV187",0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV188",0,0,0,0,110,0,0,0,0,0,0,0,0,0,13,10
"ASV189",0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0
"ASV190",0,0,0,0,0,0,0,43,86,0,0,0,0,0,0,0
"ASV191",0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV192",0,0,0,0,0,0,0,30,44,0,0,0,24,0,0,28
"ASV193",92,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
"ASV194",86,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
"ASV195",0,0,0,0,0,0,24,0,0,44,33,0,0,0,22,0
"ASV196",69,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"ASV197",0,0,0,0,56,0,0,0,0,35,0,0,0,0,31,0
"ASV198",28,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57
"ASV199",0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV200",119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV201",0,0,0,0,65,0,0,0,0,37,0,0,0,0,17,0
"ASV202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
"ASV203",88,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
"ASV204",0,0,0,0,69,0,0,0,0,36,0,0,0,0,13,0
"ASV205",0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0
"ASV206",115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV207",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV208",0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV209",0,0,0,0,22,0,0,0,0,64,0,0,27,0,0,0
"ASV210",0,0,0,0,0,0,0,0,0,42,0,0,0,71,0,0
"ASV211",112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV212",0,0,0,0,0,35,0,42,0,0,0,0,0,0,35,0
"ASV213",0,0,0,0,0,18,0,0,0,0,0,0,53,0,41,0
"ASV214",95,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"ASV215",6,0,25,0,0,23,9,12,0,0,0,0,0,0,35,0
"ASV216",0,0,0,0,0,76,0,0,0,0,0,0,0,0,34,0
"ASV217",85,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"ASV218",0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0
"ASV219",108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV220",84,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"ASV221",0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV222",0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV223",0,0,18,0,0,35,0,0,0,7,0,0,0,0,44,4
"ASV224",0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
"ASV225",18,9,0,0,0,0,44,0,36,0,0,0,0,0,0,0
"ASV226",0,0,0,0,77,0,0,0,0,30,0,0,0,0,0,0
"ASV227",95,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"ASV228",0,0,0,0,13,50,4,0,0,0,0,0,0,0,39,0
"ASV229",0,0,0,0,0,0,0,0,0,0,0,38,45,23,0,0
"ASV230",80,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"ASV231",0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV232",0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0
"ASV233",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV234",79,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"ASV235",23,0,0,0,0,0,14,0,0,0,0,0,0,0,64,0
"ASV236",0,0,0,0,0,0,41,0,0,0,0,52,0,0,0,6
"ASV237",20,0,0,0,0,0,74,0,0,0,0,0,0,0,3,0
"ASV238",0,0,0,0,16,0,0,0,0,44,0,0,37,0,0,0
"ASV239",0,0,0,0,14,0,0,0,0,0,0,0,83,0,0,0
"ASV240",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV241",7,8,9,0,5,11,4,2,0,15,0,0,0,9,26,0
"ASV242",0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV243",0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV244",0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0
"ASV245",0,0,0,0,0,0,9,55,32,0,0,0,0,0,0,0
"ASV246",0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0
"ASV247",72,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"ASV248",8,0,0,0,0,14,19,18,0,0,0,0,0,0,17,17
"ASV249",0,0,0,0,30,0,0,0,0,0,0,0,37,0,0,26
"ASV250",71,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"ASV251",0,0,0,0,0,0,0,0,0,42,0,0,0,0,50,0
"ASV252",26,11,0,0,0,0,51,0,3,0,0,0,0,0,0,0
"ASV253",57,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
"ASV254",0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"ASV255",0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
"ASV256",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV257",0,0,0,0,0,0,55,0,0,0,0,0,30,0,0,0
"ASV258",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV259",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV260",0,0,0,0,46,0,0,0,0,38,0,0,0,0,0,0
"ASV261",70,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ASV262",0,0,0,0,50,0,0,0,0,33,0,0,0,0,0,0
"ASV263",0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV264",0,0,0,0,14,0,5,0,0,20,29,0,0,0,14,0
"ASV265",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV266",0,0,0,0,0,0,28,14,39,0,0,0,0,0,0,0
"ASV267",0,0,0,0,0,0,0,0,0,30,0,0,0,0,51,0
"ASV268",0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
"ASV269",0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV270",0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
"ASV271",0,0,0,0,8,0,0,0,13,0,0,0,21,0,17,21
"ASV272",58,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"ASV273",46,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
"ASV274",0,0,0,0,0,0,33,0,46,0,0,0,0,0,0,0
"ASV275",0,0,0,0,0,0,0,64,15,0,0,0,0,0,0,0
"ASV276",0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
"ASV277",62,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"ASV278",0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
"ASV279",56,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"ASV280",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV281",0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV282",0,0,0,0,0,0,0,0,0,33,0,0,0,0,41,0
"ASV283",46,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"ASV284",0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV285",0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
"ASV286",0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV287",0,0,0,6,0,1,2,0,0,5,9,0,12,20,3,13
"ASV288",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV289",0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV290",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV291",0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
"ASV292",0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
"ASV293",0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,18
"ASV294",0,0,0,0,0,0,0,0,0,25,0,0,43,0,0,0
"ASV295",48,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"ASV296",47,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"ASV297",11,0,11,0,2,9,1,15,0,6,2,0,0,6,4,0
"ASV298",0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV299",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,63
"ASV300",0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
"ASV301",0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV302",0,0,0,0,0,0,0,0,0,12,0,7,6,18,8,14
"ASV303",64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV304",0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV305",0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV306",0,0,0,0,0,39,0,0,0,0,0,0,0,0,25,0
"ASV307",0,0,0,0,0,0,34,0,30,0,0,0,0,0,0,0
"ASV308",49,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"ASV309",0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
"ASV310",0,0,0,0,0,0,0,0,0,34,0,0,29,0,0,0
"ASV311",49,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ASV312",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV313",0,0,5,0,0,22,1,2,0,0,0,0,0,0,32,0
"ASV314",0,0,0,0,0,0,0,0,0,10,0,19,4,7,2,20
"ASV315",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV316",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV317",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV318",0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
"ASV319",0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
"ASV320",0,0,0,0,0,0,0,51,10,0,0,0,0,0,0,0
"ASV321",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV322",0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
"ASV323",0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV324",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,22
"ASV325",14,0,12,0,0,12,0,0,0,0,11,0,0,9,0,0
"ASV326",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV327",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV328",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
"ASV329",0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
"ASV330",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV331",47,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"ASV332",0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV333",0,0,6,0,4,4,0,0,0,8,0,0,0,10,11,14
"ASV334",0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
"ASV335",28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV336",0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV337",0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV338",0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"ASV339",0,0,0,0,26,0,0,0,0,0,0,0,0,0,30,0
"ASV340",0,0,0,0,0,30,0,0,0,0,0,0,0,0,26,0
"ASV341",0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,30
"ASV342",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV343",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV344",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV345",38,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"ASV346",0,0,11,0,0,0,0,0,0,0,0,3,0,13,14,13
"ASV347",29,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0
"ASV348",0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV349",0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV350",0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"ASV351",0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"ASV352",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV353",0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV354",0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"ASV355",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV356",9,0,0,0,0,0,5,2,35,0,0,0,0,0,0,0
"ASV357",0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV358",0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV359",0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
"ASV360",0,0,0,0,0,0,0,0,8,0,0,0,0,0,43,0
"ASV361",0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV362",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
