Sample,Flagged_ASVs,Flagged_reads
LME1679,183,8924
LME1635,107,8171
LME1637,63,4432
LME1663,47,3933
LME1668,31,9148
LME1652,27,3891
LME1646,23,3362
LME1670,21,2728
LME1705,20,891
LME1698,19,4331
LME1701,18,766
LME1695,17,7174
LME1656,17,3353
LME1636,14,6168
LME1692,13,2425
LME1634,12,9205
LME1702,7,3173
LME1708,7,2513
LME1689,5,740
LME1714,4,903
