ASV_ID,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Strand,Deepest_rank,Deepest_taxon,Accepted_taxonomy
ASV78,Fungi,1.00,Basidiomycota,1.00,Microbotryomycetes,1.00,Sporidiobolales,1.00,Sporidiobolaceae,1.00,Rhodotorula,1.00,Rhodotorula_sp._CCFEE_5628,1.00,+,Species,Rhodotorula_sp._CCFEE_5628,"k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula_sp._CCFEE_5628"
ASV785,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.86,Ascomycota_order_incertae_sedis,0.86,Ascomycota_family_incertae_sedis,0.86,Preussia,0.86,Preussia_africana,0.84,+,Species,Preussia_africana,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Preussia,s:Preussia_africana"
ASV811,Fungi,1.00,Ascomycota,0.99,Sordariomycetes,0.88,Coniochaetales,0.88,Coniochaetaceae,0.88,Lecythophora,0.88,Lecythophora_sp.,0.88,+,Species,Lecythophora_sp.,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Lecythophora,s:Lecythophora_sp."
ASV810,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Pleosporales,1.00,Massarinaceae,0.99,Massarina,0.99,Massarina_sp._MUT_4323,0.95,+,Species,Massarina_sp._MUT_4323,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Massarinaceae,g:Massarina,s:Massarina_sp._MUT_4323"
ASV837,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Boletales,1.00,Boletaceae,1.00,Octaviania,0.99,Octaviania_sp.,0.99,+,Species,Octaviania_sp.,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Boletaceae,g:Octaviania,s:Octaviania_sp."
ASV833,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,1.00,Ascomycota_order_incertae_sedis,1.00,Ascomycota_family_incertae_sedis,1.00,Chalara,1.00,Chalara_holubovae,1.00,+,Species,Chalara_holubovae,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Chalara,s:Chalara_holubovae"
ASV842,Fungi,1.00,Ascomycota,0.99,Dothideomycetes,0.86,Microthyriales,0.85,Leptopeltidaceae,0.85,Dothiopeltis,0.85,Dothiopeltis_n._sp.,0.85,+,Species,Dothiopeltis_n._sp.,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Microthyriales,f:Leptopeltidaceae,g:Dothiopeltis,s:Dothiopeltis_n._sp."
ASV89,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,1.00,Pezizales,1.00,,,Trichobolus,1.00,Trichobolus_sp._zukalii-CA01,1.00,+,Species,Trichobolus_sp._zukalii-CA01,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,g:Trichobolus,s:Trichobolus_sp._zukalii-CA01"
ASV904,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,1.00,Pezizales,1.00,,,Trichobolus,0.98,Trichobolus_sp._zukalii-CA01,0.98,+,Species,Trichobolus_sp._zukalii-CA01,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,g:Trichobolus,s:Trichobolus_sp._zukalii-CA01"
ASV903,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.88,Ascomycota_order_incertae_sedis,0.88,Ascomycota_family_incertae_sedis,0.88,,,,,+,Family,Ascomycota_family_incertae_sedis,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis"
ASV913,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,,,,,Xylomelasma,1.00,Xylomelasma_sp._ZK29/08,1.00,+,Species,Xylomelasma_sp._ZK29/08,"k:Fungi,p:Ascomycota,c:Sordariomycetes,g:Xylomelasma,s:Xylomelasma_sp._ZK29/08"
ASV917,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.89,Ascomycota_order_incertae_sedis,0.89,Ascomycota_family_incertae_sedis,0.89,Chalara,0.88,,,+,Genus,Chalara,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Chalara"
ASV94,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.99,Botryosphaeriales,0.91,Botryosphaeriaceae,0.91,Microdiplodia,0.91,Microdiplodia_sp._A18,0.86,+,Species,Microdiplodia_sp._A18,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Botryosphaeriaceae,g:Microdiplodia,s:Microdiplodia_sp._A18"
ASV932,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,0.84,Pezizales,0.84,,,Trichobolus,0.84,Trichobolus_sp._zukalii-CA01,0.84,+,Species,Trichobolus_sp._zukalii-CA01,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,g:Trichobolus,s:Trichobolus_sp._zukalii-CA01"
