ASV,Strand,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Raw_SINTAX,Accepted_SINTAX
ASV127,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.98,,,Genus,0.98,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(1.00),f:Pinaceae(1.00),g:Abies(0.98)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV124,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.63,,0.63,,0.2,,0.2,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.63),f:Boraginaceae(0.63),g:Omphalodes(0.20),s:Omphalodes_verna(0.20)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV126,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.89,Violaceae,0.89,Viola,0.87,,0.22,Genus,0.87,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.89),f:Violaceae(0.89),g:Viola(0.87),s:Viola_hirta(0.22)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae,g:Viola"
ASV123,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.59,,0.57,,0.23,,0.18,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.59),f:Rosaceae(0.57),g:Agrimonia(0.23),s:Agrimonia_pilosa(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV132,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,0.99,,0.37,,0.37,Family,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Lamiaceae(0.99),g:Otostegia(0.37),s:Otostegia_fruticosa(0.37)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales,f:Lamiaceae"
ASV13,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.78,,0.75,,0.25,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.78),f:Rosaceae(0.75),g:Rosa(0.25)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV129,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.16,,0.16,,0.08,,0.05,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fabales(0.16),f:Fabaceae(0.16),g:Erythrostemon(0.08),s:Erythrostemon_fimbriatus(0.05)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV133,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.75,,0.41,,0.4,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.76),f:Primulaceae(0.75),g:Cyclamen(0.41),s:Cyclamen_purpurascens(0.40)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV135,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(1.00),f:Pinaceae(1.00),g:Abies(0.99)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV138,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(1.00),f:Pinaceae(1.00),g:Abies(0.99)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV136,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.83,Primulaceae,0.81,,0.49,,0.47,Family,0.81,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.83),f:Primulaceae(0.81),g:Cyclamen(0.49),s:Cyclamen_purpurascens(0.47)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Ericales,f:Primulaceae"
ASV137,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.83,Violaceae,0.81,,0.78,,0.16,Family,0.81,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.83),f:Violaceae(0.81),g:Viola(0.78),s:Viola_hirta(0.16)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae"
ASV14,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.63,,0.61,,0.12,,0.09,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.63),f:Rosaceae(0.61),g:Rubus(0.12),s:Rubus_sp._MS-2022a_(sect._Cuneifolii)(0.09)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV134,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.18,,0.13,,0.13,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.18),f:Styracaceae(0.13),g:Bruinsmia(0.13)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV141,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.85,Violaceae,0.82,,0.78,,0.18,Family,0.82,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.85),f:Violaceae(0.82),g:Viola(0.78),s:Viola_hirta(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae"
ASV140,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.75,,0.58,,0.58,,0.3,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.75),f:Violaceae(0.58),g:Viola(0.58),s:Viola_biflora(0.30)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV142,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.61,,0.59,,0.19,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.61),f:Rosaceae(0.59),g:Potentilla(0.19)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV131,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.54,,0.45,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.55),f:Primulaceae(0.54),g:Cyclamen(0.45)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV130,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.44,,0.4,,0.4,,0.31,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Piperales(0.44),f:Asaraceae(0.40),g:Asarum(0.40),s:Asarum_lewisii(0.31)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV144,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.82,Violaceae,0.81,Viola,0.8,,0.23,Genus,0.8,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.82),f:Violaceae(0.81),g:Viola(0.80),s:Viola_hirta(0.23)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae,g:Viola"
ASV146,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.7,,0.54,,0.54,,0.3,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.70),f:Violaceae(0.54),g:Viola(0.54),s:Viola_sempervirens(0.30)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV145,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.6,,0.6,,0.16,,0.16,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.60),f:Boraginaceae(0.60),g:Omphalodes(0.16),s:Omphalodes_verna(0.16)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV143,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.17,,0.08,,0.08,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.17),f:Styracaceae(0.08),g:Bruinsmia(0.08)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV148,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.93,Hypericaceae,0.92,Hypericum,0.92,,0.24,Genus,0.92,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.93),f:Hypericaceae(0.92),g:Hypericum(0.92),s:Hypericum_tosaense(0.24)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Hypericaceae,g:Hypericum"
ASV149,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.35,,0.31,,0.2,,0.11,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Apiales(0.35),f:Araliaceae(0.31),g:Hydrocotyle(0.20),s:Hydrocotyle_novae-zealandiae(0.11)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV15,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.48,,0.39,,0.35,,0.22,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.48),f:Betulaceae(0.39),g:Corylus(0.35),s:Corylus_heterophylla(0.22)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV147,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Dipsacales,0.83,Caprifoliaceae,0.83,,0.78,,,Family,0.83,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Dipsacales(0.83),f:Caprifoliaceae(0.83),g:Scabiosa(0.78)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Dipsacales,f:Caprifoliaceae"
ASV153,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.87,Violaceae,0.86,,0.79,,0.18,Family,0.86,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.87),f:Violaceae(0.86),g:Viola(0.79),s:Viola_hirta(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae"
ASV150,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.48,,0.44,,0.1,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.48),f:Rosaceae(0.44),g:Spiraea(0.10)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV152,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,0.98,Pinaceae,0.98,Picea,0.91,,,Genus,0.91,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(0.98),f:Pinaceae(0.98),g:Picea(0.91)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Picea"
ASV154,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.98,Juncaceae,0.98,Luzula,0.98,Luzula acuminata,0.96,Species,0.96,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(0.98),f:Juncaceae(0.98),g:Luzula(0.98),s:Luzula_acuminata(0.96)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales,f:Juncaceae,g:Luzula,s:Luzula_acuminata"
ASV159,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.67,,0.67,,0.62,,0.61,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Dipsacales(0.67),f:Caprifoliaceae(0.67),g:Scabiosa(0.62),s:Scabiosa_comosa(0.61)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV157,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.47,,0.47,,0.19,,0.19,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.47),f:Boraginaceae(0.47),g:Omphalodes(0.19),s:Omphalodes_verna(0.19)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV162,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.39,,0.39,,0.39,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Oxalidales(0.39),f:Oxalidaceae(0.39),g:Oxalis(0.39)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV163,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.41,,0.34,,0.23,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.56),f:Betulaceae(0.41),g:Corylus(0.34),s:Corylus_heterophylla(0.23)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV16,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.5,,0.4,,0.25,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.68),f:Betulaceae(0.50),g:Corylus(0.40),s:Corylus_heterophylla(0.25)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV165,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.64,,0.56,,0.56,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Dipsacales(0.64),f:Caprifoliaceae(0.64),g:Scabiosa(0.56),s:Scabiosa_comosa(0.56)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV166,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.86,Primulaceae,0.83,,0.49,,0.48,Family,0.83,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.86),f:Primulaceae(0.83),g:Cyclamen(0.49),s:Cyclamen_purpurascens(0.48)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Ericales,f:Primulaceae"
ASV167,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.79,,0.63,,0.42,,0.41,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(0.79),f:Oleaceae(0.63),g:Jasminum(0.42),s:Jasminum_nervosum(0.41)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV170,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.65,,0.56,,0.56,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Dipsacales(0.65),f:Caprifoliaceae(0.65),g:Scabiosa(0.56),s:Scabiosa_comosa(0.56)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV161,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.78,,0.78,,0.5,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.78),f:Fagaceae(0.78),g:Fagus(0.50)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV171,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,0.99,,0.49,,0.49,,0.2,,0.2,Class,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(0.99),o:Boraginales(0.49),f:Boraginaceae(0.49),g:Omphalodes(0.20),s:Omphalodes_verna(0.20)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV151,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.33,,0.33,Family,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Lamiaceae(1.00),g:Otostegia(0.33),s:Otostegia_fruticosa(0.33)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales,f:Lamiaceae"
ASV174,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,0.99,Pinaceae,0.99,Abies,0.97,,,Genus,0.97,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(0.99),f:Pinaceae(0.99),g:Abies(0.97)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV168,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.48,,0.4,,0.24,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.56),f:Betulaceae(0.48),g:Corylus(0.40),s:Corylus_heterophylla(0.24)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV173,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.19,,0.15,,0.15,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.19),f:Styracaceae(0.15),g:Bruinsmia(0.15)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV172,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,1.0,Juncaceae,1.0,Luzula,1.0,Luzula acuminata,0.97,Species,0.97,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(1.00),f:Juncaceae(1.00),g:Luzula(1.00),s:Luzula_acuminata(0.97)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales,f:Juncaceae,g:Luzula,s:Luzula_acuminata"
ASV164,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.31,,0.28,,0.18,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Crossosomatales(0.31),f:Staphyleaceae(0.28),g:Staphylea(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV17,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,,0.78,,,,,Order,0.81,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.81),f:Rosaceae(0.78)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Rosales"
