ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV130,185,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.44,,0.4,,0.4,,0.31,Class,1.0,+
ASV131,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.54,,0.45,,,Class,1.0,-
ASV132,182,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,0.99,,0.37,,0.37,Family,0.99,+
ASV133,182,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.75,,0.41,,0.4,Class,1.0,+
ASV134,181,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.18,,0.13,,0.13,,,Class,1.0,+
ASV135,180,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,+
ASV136,177,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.83,Primulaceae,0.81,,0.49,,0.47,Family,0.81,+
ASV137,175,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.83,Violaceae,0.81,,0.78,,0.16,Family,0.81,+
ASV138,174,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,+
ASV14,5374,0,0,0,0,0,0,0,0,5374,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.63,,0.61,,0.12,,0.09,Class,1.0,+
