ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV162,124,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.39,,0.39,,0.39,,,Class,1.0,+
ASV163,123,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.41,,0.34,,0.23,Class,1.0,+
ASV164,122,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.31,,0.28,,0.18,,,Class,1.0,+
ASV165,121,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.64,,0.56,,0.56,Class,1.0,+
ASV167,120,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.79,,0.63,,0.42,,0.41,Class,1.0,+
ASV168,118,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.48,,0.4,,0.24,Class,1.0,+
ASV17,4587,0,0,0,0,0,0,4587,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,,0.78,,,,,Order,0.81,+
ASV170,115,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.65,,0.56,,0.56,Class,1.0,+
ASV171,115,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,0.99,,0.49,,0.49,,0.2,,0.2,Class,0.99,+
ASV173,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.19,,0.15,,0.15,,,Class,1.0,+
